Linux 5.4.0-81-generic (jeongho-desktop) 	2021년 09월 15일 	_x86_64_	(8 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.21    0.00    0.82    0.95    0.00   96.02

Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
loop0             0.00         0.00         0.00         86          0
loop1             0.00         0.00         0.00        846          0
loop2             0.00         0.00         0.00       2717          0
loop3             0.00         0.00         0.00        226          0
loop4             0.00         0.00         0.00        235          0
loop5             0.00         0.00         0.00       1324          0
loop6             0.00         0.00         0.00         84          0
loop7             0.00         0.00         0.00       2736          0
nvme0n1         441.42       243.66     51443.57  141745828 29926611752
sdb               0.00         0.03         0.00      16740          0
sda               2.22        26.62       246.86   15488361  143605616
sdc               0.00         0.04         0.00      23208          0
loop8             0.00         0.00         0.00       2690          0
loop9             0.06         0.06         0.00      36611          0
loop10            0.00         0.01         0.00       2984          0
loop11            0.00         0.00         0.00        138          0
loop12            0.00         0.00         0.00         54          0
loop13            0.00         0.00         0.00         55          0
loop14            0.00         0.00         0.00        136          0
loop15            0.00         0.00         0.00       2071          0
loop16            0.00         0.00         0.00       1564          0
loop17            0.00         0.00         0.00       1681          0

