Linux 5.4.0-81-generic (jeongho-desktop) 	2021년 09월 13일 	_x86_64_	(8 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.53    0.00    0.97    1.13    0.00   95.37

Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
loop0             0.00         0.00         0.00         86          0
loop1             0.00         0.00         0.00        846          0
loop2             0.00         0.01         0.00       2425          0
loop3             0.00         0.00         0.00        226          0
loop4             0.00         0.00         0.00        235          0
loop5             0.00         0.00         0.00       1324          0
loop6             0.00         0.00         0.00         84          0
loop7             0.01         0.01         0.00       2736          0
nvme0n1         528.85       294.45     61615.60  128913368 26976074920
sdb               0.00         0.04         0.00      16740          0
sda               2.32        28.26       175.45   12373089   76814868
sdc               0.00         0.05         0.00      23208          0
loop8             0.00         0.01         0.00       2688          0
loop9             0.07         0.07         0.00      28963          0
loop10            0.01         0.01         0.00       2980          0
loop11            0.00         0.00         0.00        134          0
loop12            0.00         0.00         0.00         50          0
loop13            0.00         0.00         0.00         51          0
loop14            0.00         0.00         0.00        132          0
loop15            0.00         0.00         0.00       2069          0
loop16            0.00         0.00         0.00       1560          0
loop17            0.00         0.00         0.00       1679          0

